tx	gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
unassigned_transcript_32	MM_RS00155	2448	2448	2448	2448	2448	2448	2448	2448
unassigned_transcript_33	MM_RS00160	252	252	252	252	252	252	252	252
unassigned_transcript_34	MM_RS00165	972	972	972	972	972	972	972	972
unassigned_transcript_35	MM_RS00170	123	123	123	123	123	123	123	123
unassigned_transcript_36	MM_RS00175	75.104	75.104	75.104	75.104	75.104	75.104	75.104	75.104
unassigned_transcript_37	MM_RS00180	198	198	198	198	198	198	198	198
unassigned_transcript_38	MM_RS00185	933	933	933	933	933	933	933	933
unassigned_transcript_39	MM_RS00190	2667	2667	2667	2667	2667	2667	2667	2667
unassigned_transcript_40	MM_RS00195	1866	1866	1866	1866	1866	1866	1866	1866
unassigned_transcript_41	MM_RS00200	1035	1035	1035	1035	1035	1035	1035	1035
unassigned_transcript_42	MM_RS00205	3072	3072	3072	3072	3072	3072	3072	3072
unassigned_transcript_43	MM_RS00210	957	957	957	957	957	957	957	957
unassigned_transcript_44	MM_RS00215	1203	1203	1203	1203	1203	1203	1203	1203
unassigned_transcript_45	MM_RS00220	681	681	681	681	681	681	681	681
unassigned_transcript_46	MM_RS00225	771	771	771	771	771	771	771	771
unassigned_transcript_47	MM_RS17635	23.321	23.321	23.321	23.321	23.321	23.321	23.321	23.321
unassigned_transcript_48	MM_RS00230	2406	2406	2406	2406	2406	2406	2406	2406
unassigned_transcript_49	MM_RS00240	693	693	693	693	693	693	693	693
unassigned_transcript_50	MM_RS00245	933	933	933	933	933	933	933	933
unassigned_transcript_51	MM_RS00250	345	345	345	345	345	345	345	345
unassigned_transcript_52	MM_RS00255	1260	1260	1260	1260	1260	1260	1260	1260
unassigned_transcript_53	MM_RS00260	1329	1329	1329	1329	1329	1329	1329	1329
unassigned_transcript_54	MM_RS00265	246	246	246	246	246	246	246	246
unassigned_transcript_55	MM_RS00270	1752	1752	1752	1752	1752	1752	1752	1752
unassigned_transcript_56	MM_RS00275	267	267	267	267	267	267	267	267
unassigned_transcript_57	MM_RS00280	1095	1095	1095	1095	1095	1095	1095	1095
unassigned_transcript_58	MM_RS00285	321	321	321	321	321	321	321	321
unassigned_transcript_59	MM_RS00290	1353	1353	1353	1353	1353	1353	1353	1353
unassigned_transcript_60	MM_RS00295	2232	2232	2232	2232	2232	2232	2232	2232
unassigned_transcript_61	MM_RS00300	132	132	132	132	132	132	132	132
unassigned_transcript_62	MM_RS00305	315	315	315	315	315	315	315	315
unassigned_transcript_63	MM_RS00310	1095	1095	1095	1095	1095	1095	1095	1095
unassigned_transcript_64	MM_RS00315	249	249	249	249	249	249	249	249
unassigned_transcript_65	MM_RS00320	135	135	135	135	135	135	135	135
unassigned_transcript_66	MM_RS00325	516	516	516	516	516	516	516	516
unassigned_transcript_67	MM_RS00330	1215	1215	1215	1215	1215	1215	1215	1215
unassigned_transcript_68	MM_RS00335	1857	1857	1857	1857	1857	1857	1857	1857
unassigned_transcript_69	MM_RS00340	3009	3009	3009	3009	3009	3009	3009	3009
unassigned_transcript_70	MM_RS00345	1395	1395	1395	1395	1395	1395	1395	1395
unassigned_transcript_71	MM_RS00350	1563	1563	1563	1563	1563	1563	1563	1563
unassigned_transcript_72	MM_RS00355	786	786	786	786	786	786	786	786
unassigned_transcript_73	MM_RS00360	543	543	543	543	543	543	543	543
unassigned_transcript_74	MM_RS00365	519	519	519	519	519	519	519	519
unassigned_transcript_75	MM_RS00370	1488	1488	1488	1488	1488	1488	1488	1488
unassigned_transcript_76	MM_RS00375	555	555	555	555	555	555	555	555
unassigned_transcript_77	MM_RS00380	1185	1185	1185	1185	1185	1185	1185	1185
unassigned_transcript_78	MM_RS00385	261	261	261	261	261	261	261	261
unassigned_transcript_79	MM_RS00390	111	111	111	111	111	111	111	111
unassigned_transcript_80	MM_RS00395	561	561	561	561	561	561	561	561
unassigned_transcript_81	MM_RS00400	564	564	564	564	564	564	564	564
unassigned_transcript_82	MM_RS00405	747	747	747	747	747	747	747	747
unassigned_transcript_83	MM_RS00410	1005	1005	1005	1005	1005	1005	1005	1005
unassigned_transcript_84	MM_RS00415	1212	1212	1212	1212	1212	1212	1212	1212
unassigned_transcript_85	MM_RS00420	129	129	129	129	129	129	129	129
unassigned_transcript_86	MM_RS00425	360	360	360	360	360	360	360	360
unassigned_transcript_87	MM_RS00430	267	267	267	267	267	267	267	267
unassigned_transcript_88	MM_RS00435	384	384	384	384	384	384	384	384
unassigned_transcript_89	MM_RS00440	1371	1371	1371	1371	1371	1371	1371	1371
unassigned_transcript_90	MM_RS00445	726	726	726	726	726	726	726	726
unassigned_transcript_91	MM_RS00450	57.716	57.716	57.716	57.716	57.716	57.716	57.716	57.716
unassigned_transcript_92	MM_RS00455	72.149	72.149	72.149	72.149	72.149	72.149	72.149	72.149
unassigned_transcript_93	MM_RS00460	1020	1020	1020	1020	1020	1020	1020	1020
unassigned_transcript_94	MM_RS00465	999	999	999	999	999	999	999	999
unassigned_transcript_95	MM_RS00470	1308	1308	1308	1308	1308	1308	1308	1308
unassigned_transcript_96	MM_RS19060	99.004	99.004	99.004	99.004	99.004	99.004	99.004	99.004
unassigned_transcript_97	MM_RS19065	46.972	46.972	46.972	46.972	46.972	46.972	46.972	46.972
unassigned_transcript_98	MM_RS00480	582	582	582	582	582	582	582	582
unassigned_transcript_99	MM_RS00485	1119	1119	1119	1119	1119	1119	1119	1119
unassigned_transcript_100	MM_RS00490	831	831	831	831	831	831	831	831
unassigned_transcript_101	MM_RS00495	552	552	552	552	552	552	552	552
unassigned_transcript_102	MM_RS19070	522	522	522	522	522	522	522	522
unassigned_transcript_103	MM_RS19075	237	237	237	237	237	237	237	237
unassigned_transcript_104	MM_RS00505	204	204	204	204	204	204	204	204
unassigned_transcript_105	MM_RS00510	639	639	639	639	639	639	639	639
unassigned_transcript_106	MM_RS00515	1038	1038	1038	1038	1038	1038	1038	1038
unassigned_transcript_107	MM_RS00520	90.014	90.014	90.014	90.014	90.014	90.014	90.014	90.014
unassigned_transcript_108	MM_RS00525	255	255	255	255	255	255	255	255
unassigned_transcript_109	MM_RS00530	567	567	567	567	567	567	567	567
unassigned_transcript_110	MM_RS00535	252	252	252	252	252	252	252	252
unassigned_transcript_111	MM_RS00540	1041	1041	1041	1041	1041	1041	1041	1041
unassigned_transcript_112	MM_RS00545	240	240	240	240	240	240	240	240
unassigned_transcript_113	MM_RS00550	825	825	825	825	825	825	825	825
unassigned_transcript_114	MM_RS00555	198	198	198	198	198	198	198	198
unassigned_transcript_115	MM_RS00560	1086	1086	1086	1086	1086	1086	1086	1086
unassigned_transcript_116	MM_RS00565	276	276	276	276	276	276	276	276
unassigned_transcript_117	MM_RS00570	1167	1167	1167	1167	1167	1167	1167	1167
unassigned_transcript_118	MM_RS00575	1251	1251	1251	1251	1251	1251	1251	1251
unassigned_transcript_119	MM_RS00580	285	285	285	285	285	285	285	285
unassigned_transcript_120	MM_RS00585	39.703	39.703	39.703	39.703	39.703	39.703	39.703	39.703
unassigned_transcript_121	MM_RS00590	435	435	435	435	435	435	435	435
unassigned_transcript_122	MM_RS19365	14.267	14.267	14.267	14.267	14.267	14.267	14.267	14.267
unassigned_transcript_123	MM_RS00595	66.291	66.291	66.291	66.291	66.291	66.291	66.291	66.291
unassigned_transcript_124	MM_RS19370	15.007	15.007	15.007	15.007	15.007	15.007	15.007	15.007
unassigned_transcript_125	MM_RS00600	1455	1455	1455	1455	1455	1455	1455	1455
unassigned_transcript_126	MM_RS00605	615	615	615	615	615	615	615	615
unassigned_transcript_127	MM_RS00610	37.467	37.467	37.467	37.467	37.467	37.467	37.467	37.467
unassigned_transcript_128	MM_RS00615	1725	1725	1725	1725	1725	1725	1725	1725
unassigned_transcript_129	MM_RS00620	393	393	393	393	393	393	393	393
unassigned_transcript_130	MM_RS00625	312	312	312	312	312	312	312	312
unassigned_transcript_131	MM_RS00630	789	789	789	789	789	789	789	789
unassigned_transcript_132	MM_RS00635	297	297	297	297	297	297	297	297
unassigned_transcript_133	MM_RS00640	1161	1161	1161	1161	1161	1161	1161	1161
unassigned_transcript_134	MM_RS00645	1191	1191	1191	1191	1191	1191	1191	1191
unassigned_transcript_135	MM_RS00650	1920	1920	1920	1920	1920	1920	1920	1920
unassigned_transcript_136	MM_RS00655	615	615	615	615	615	615	615	615
unassigned_transcript_137	MM_RS00660	291	291	291	291	291	291	291	291
unassigned_transcript_138	MM_RS00665	621	621	621	621	621	621	621	621
unassigned_transcript_139	MM_RS00670	60.538	60.538	60.538	60.538	60.538	60.538	60.538	60.538
unassigned_transcript_140	MM_RS00675	309	309	309	309	309	309	309	309
unassigned_transcript_141	MM_RS00680	1101	1101	1101	1101	1101	1101	1101	1101
unassigned_transcript_142	MM_RS00685	1008	1008	1008	1008	1008	1008	1008	1008
unassigned_transcript_143	MM_RS00690	1167	1167	1167	1167	1167	1167	1167	1167
unassigned_transcript_144	MM_RS00695	459	459	459	459	459	459	459	459
unassigned_transcript_145	MM_RS00700	2.953	2.953	2.953	2.953	2.953	2.953	2.953	2.953
unassigned_transcript_146	MM_RS00705	2.971	2.971	2.971	2.971	2.971	2.971	2.971	2.971
unassigned_transcript_147	MM_RS00710	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918
unassigned_transcript_148	MM_RS00715	2.953	2.953	2.953	2.953	2.953	2.953	2.953	2.953
unassigned_transcript_149	MM_RS00720	2.971	2.971	2.971	2.971	2.971	2.971	2.971	2.971
unassigned_transcript_150	MM_RS00725	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918
unassigned_transcript_151	MM_RS19375	13.578	13.578	13.578	13.578	13.578	13.578	13.578	13.578
unassigned_transcript_152	MM_RS00730	63.398	63.398	63.398	63.398	63.398	63.398	63.398	63.398
unassigned_transcript_153	MM_RS00740	246	246	246	246	246	246	246	246
unassigned_transcript_154	MM_RS00745	912	912	912	912	912	912	912	912
unassigned_transcript_155	MM_RS00750	840	840	840	840	840	840	840	840
unassigned_transcript_156	MM_RS00755	399	399	399	399	399	399	399	399
unassigned_transcript_157	MM_RS00760	414	414	414	414	414	414	414	414
unassigned_transcript_158	MM_RS00765	162	162	162	162	162	162	162	162
unassigned_transcript_159	MM_RS00770	1152	1152	1152	1152	1152	1152	1152	1152
unassigned_transcript_160	MM_RS00775	759	759	759	759	759	759	759	759
unassigned_transcript_161	MM_RS00780	3.164	3.164	3.164	3.164	3.164	3.164	3.164	3.164
unassigned_transcript_162	MM_RS00785	636	636	636	636	636	636	636	636
unassigned_transcript_163	MM_RS00790	516	516	516	516	516	516	516	516
unassigned_transcript_164	MM_RS00795	648	648	648	648	648	648	648	648
unassigned_transcript_165	MM_RS00800	63.398	63.398	63.398	63.398	63.398	63.398	63.398	63.398
unassigned_transcript_166	MM_RS00805	714	714	714	714	714	714	714	714
unassigned_transcript_167	MM_RS00815	1773	1773	1773	1773	1773	1773	1773	1773
unassigned_transcript_168	MM_RS00820	37.467	37.467	37.467	37.467	37.467	37.467	37.467	37.467
unassigned_transcript_169	MM_RS18165	20.776	20.776	20.776	20.776	20.776	20.776	20.776	20.776
unassigned_transcript_170	MM_RS00825	987	987	987	987	987	987	987	987
unassigned_transcript_171	MM_RS00830	423	423	423	423	423	423	423	423
unassigned_transcript_172	MM_RS00835	3489	3489	3489	3489	3489	3489	3489	3489
unassigned_transcript_173	MM_RS00840	2190	2190	2190	2190	2190	2190	2190	2190
unassigned_transcript_174	MM_RS00845	3348	3348	3348	3348	3348	3348	3348	3348
unassigned_transcript_175	MM_RS00850	24.731	24.731	24.731	24.731	24.731	24.731	24.731	24.731
unassigned_transcript_176	MM_RS18170	17.578	17.578	17.578	17.578	17.578	17.578	17.578	17.578
unassigned_transcript_177	MM_RS00855	513	513	513	513	513	513	513	513
unassigned_transcript_178	MM_RS00860	339	339	339	339	339	339	339	339
unassigned_transcript_179	MM_RS19380	12.937	12.937	12.937	12.937	12.937	12.937	12.937	12.937
unassigned_transcript_180	MM_RS00865	780	780	780	780	780	780	780	780
unassigned_transcript_181	MM_RS00870	78.072	78.072	78.072	78.072	78.072	78.072	78.072	78.072
unassigned_transcript_182	MM_RS18175	46.972	46.972	46.972	46.972	46.972	46.972	46.972	46.972
unassigned_transcript_183	MM_RS00880	1236	1236	1236	1236	1236	1236	1236	1236
unassigned_transcript_184	MM_RS00885	2553	2553	2553	2553	2553	2553	2553	2553
unassigned_transcript_185	MM_RS00890	1899	1899	1899	1899	1899	1899	1899	1899
unassigned_transcript_186	MM_RS00895	171	171	171	171	171	171	171	171
unassigned_transcript_187	MM_RS00900	1299	1299	1299	1299	1299	1299	1299	1299
unassigned_transcript_188	MM_RS00905	942	942	942	942	942	942	942	942
unassigned_transcript_189	MM_RS00910	4605	4605	4605	4605	4605	4605	4605	4605
unassigned_transcript_190	MM_RS00915	2145	2145	2145	2145	2145	2145	2145	2145
unassigned_transcript_191	MM_RS17665	947	947	947	947	947	947	947	947
unassigned_transcript_192	MM_RS00930	1611	1611	1611	1611	1611	1611	1611	1611
unassigned_transcript_193	MM_RS18735	168	168	168	168	168	168	168	168
unassigned_transcript_194	MM_RS00940	453	453	453	453	453	453	453	453
unassigned_transcript_195	MM_RS00945	4.1	4.1	4.1	4.1	4.1	4.1	4.1	4.1
unassigned_transcript_196	MM_RS00950	2657	2657	2657	2657	2657	2657	2657	2657
unassigned_transcript_197	MM_RS00955	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935
unassigned_transcript_198	MM_RS00960	1225	1225	1225	1225	1225	1225	1225	1225
unassigned_transcript_199	MM_RS00970	633	633	633	633	633	633	633	633
unassigned_transcript_200	MM_RS00975	1239	1239	1239	1239	1239	1239	1239	1239
unassigned_transcript_201	MM_RS00980	870	870	870	870	870	870	870	870
unassigned_transcript_202	MM_RS00985	375	375	375	375	375	375	375	375
unassigned_transcript_203	MM_RS00990	5313	5313	5313	5313	5313	5313	5313	5313
unassigned_transcript_204	MM_RS00995	246	246	246	246	246	246	246	246
unassigned_transcript_205	MM_RS01000	348	348	348	348	348	348	348	348
unassigned_transcript_206	MM_RS01010	825	825	825	825	825	825	825	825
unassigned_transcript_207	MM_RS01015	1137	1137	1137	1137	1137	1137	1137	1137
unassigned_transcript_208	MM_RS01020	2349	2349	2349	2349	2349	2349	2349	2349
unassigned_transcript_209	MM_RS01025	465	465	465	465	465	465	465	465
unassigned_transcript_210	MM_RS18185	18.568	18.568	18.568	18.568	18.568	18.568	18.568	18.568
unassigned_transcript_211	MM_RS18190	27.847	27.847	27.847	27.847	27.847	27.847	27.847	27.847
unassigned_transcript_212	MM_RS01030	618	618	618	618	618	618	618	618
unassigned_transcript_213	MM_RS01035	183	183	183	183	183	183	183	183
unassigned_transcript_214	MM_RS01040	162	162	162	162	162	162	162	162
unassigned_transcript_215	MM_RS01045	198	198	198	198	198	198	198	198
unassigned_transcript_216	MM_RS01050	180	180	180	180	180	180	180	180
unassigned_transcript_217	MM_RS01055	2577	2577	2577	2577	2577	2577	2577	2577
unassigned_transcript_218	MM_RS01060	72.149	72.149	72.149	72.149	72.149	72.149	72.149	72.149
unassigned_transcript_219	MM_RS01065	1479	1479	1479	1479	1479	1479	1479	1479
unassigned_transcript_220	MM_RS01070	360	360	360	360	360	360	360	360
unassigned_transcript_221	MM_RS01075	3006	3006	3006	3006	3006	3006	3006	3006
unassigned_transcript_222	MM_RS17465	198	198	198	198	198	198	198	198
unassigned_transcript_223	MM_RS01080	1746	1746	1746	1746	1746	1746	1746	1746
unassigned_transcript_224	MM_RS01085	723	723	723	723	723	723	723	723
unassigned_transcript_225	MM_RS01090	1197	1197	1197	1197	1197	1197	1197	1197
unassigned_transcript_226	MM_RS01095	1215	1215	1215	1215	1215	1215	1215	1215
unassigned_transcript_227	MM_RS19385	14.267	14.267	14.267	14.267	14.267	14.267	14.267	14.267
unassigned_transcript_228	MM_RS01100	189	189	189	189	189	189	189	189
unassigned_transcript_229	MM_RS01105	222	222	222	222	222	222	222	222
unassigned_transcript_230	MM_RS01110	57.716	57.716	57.716	57.716	57.716	57.716	57.716	57.716
unassigned_transcript_231	MM_RS01115	870	870	870	870	870	870	870	870
unassigned_transcript_232	MM_RS01120	303	303	303	303	303	303	303	303
unassigned_transcript_233	MM_RS01125	37.467	37.467	37.467	37.467	37.467	37.467	37.467	37.467
unassigned_transcript_234	MM_RS01130	267	267	267	267	267	267	267	267
unassigned_transcript_235	MM_RS17670	29.56	29.56	29.56	29.56	29.56	29.56	29.56	29.56
unassigned_transcript_236	MM_RS01135	474	474	474	474	474	474	474	474
unassigned_transcript_237	MM_RS01140	222	222	222	222	222	222	222	222
unassigned_transcript_238	MM_RS01145	309	309	309	309	309	309	309	309
unassigned_transcript_239	MM_RS01155	120	120	120	120	120	120	120	120
unassigned_transcript_240	MM_RS01165	2025	2025	2025	2025	2025	2025	2025	2025
unassigned_transcript_241	MM_RS01170	90.014	90.014	90.014	90.014	90.014	90.014	90.014	90.014
unassigned_transcript_242	MM_RS01175	1188	1188	1188	1188	1188	1188	1188	1188
unassigned_transcript_243	MM_RS01180	1236	1236	1236	1236	1236	1236	1236	1236
unassigned_transcript_244	MM_RS01185	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918
unassigned_transcript_245	MM_RS01190	966	966	966	966	966	966	966	966
unassigned_transcript_246	MM_RS01195	669	669	669	669	669	669	669	669
unassigned_transcript_247	MM_RS01200	459	459	459	459	459	459	459	459
unassigned_transcript_248	MM_RS01205	2115	2115	2115	2115	2115	2115	2115	2115
unassigned_transcript_249	MM_RS01210	984	984	984	984	984	984	984	984
unassigned_transcript_250	MM_RS01215	96.006	96.006	96.006	96.006	96.006	96.006	96.006	96.006
unassigned_transcript_251	MM_RS01220	1575	1575	1575	1575	1575	1575	1575	1575
unassigned_transcript_252	MM_RS01225	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935
unassigned_transcript_253	MM_RS01230	633	633	633	633	633	633	633	633
unassigned_transcript_254	MM_RS01235	540	540	540	540	540	540	540	540
unassigned_transcript_255	MM_RS01240	60.538	60.538	60.538	60.538	60.538	60.538	60.538	60.538
unassigned_transcript_256	MM_RS19080	17.578	17.578	17.578	17.578	17.578	17.578	17.578	17.578
unassigned_transcript_257	MM_RS01245	411	411	411	411	411	411	411	411
unassigned_transcript_258	MM_RS01250	255	255	255	255	255	255	255	255
unassigned_transcript_259	MM_RS01255	63.398	63.398	63.398	63.398	63.398	63.398	63.398	63.398
unassigned_transcript_260	MM_RS01260	42.036	42.036	42.036	42.036	42.036	42.036	42.036	42.036
unassigned_transcript_261	MM_RS18745	78.072	78.072	78.072	78.072	78.072	78.072	78.072	78.072
unassigned_transcript_262	MM_RS01270	900	900	900	900	900	900	900	900
unassigned_transcript_263	MM_RS01275	522	522	522	522	522	522	522	522
unassigned_transcript_264	MM_RS01280	222	222	222	222	222	222	222	222
unassigned_transcript_265	MM_RS01285	606	606	606	606	606	606	606	606
unassigned_transcript_266	MM_RS01290	3177	3177	3177	3177	3177	3177	3177	3177
unassigned_transcript_267	MM_RS01295	1128	1128	1128	1128	1128	1128	1128	1128
unassigned_transcript_268	MM_RS01300	738	738	738	738	738	738	738	738
unassigned_transcript_269	MM_RS01305	213	213	213	213	213	213	213	213
unassigned_transcript_270	MM_RS01310	576	576	576	576	576	576	576	576
unassigned_transcript_271	MM_RS01315	663	663	663	663	663	663	663	663
unassigned_transcript_272	MM_RS01320	237	237	237	237	237	237	237	237
unassigned_transcript_273	MM_RS01325	1353	1353	1353	1353	1353	1353	1353	1353
unassigned_transcript_274	MM_RS01330	306	306	306	306	306	306	306	306
unassigned_transcript_275	MM_RS01335	993	993	993	993	993	993	993	993
unassigned_transcript_276	MM_RS01340	255	255	255	255	255	255	255	255
unassigned_transcript_277	MM_RS01345	315	315	315	315	315	315	315	315
unassigned_transcript_278	MM_RS01350	1002	1002	1002	1002	1002	1002	1002	1002
unassigned_transcript_279	MM_RS01355	414	414	414	414	414	414	414	414
unassigned_transcript_280	MM_RS01360	2145	2145	2145	2145	2145	2145	2145	2145
unassigned_transcript_281	MM_RS01365	507	507	507	507	507	507	507	507
unassigned_transcript_282	MM_RS01370	1284	1284	1284	1284	1284	1284	1284	1284
unassigned_transcript_283	MM_RS01380	78.072	78.072	78.072	78.072	78.072	78.072	78.072	78.072
unassigned_transcript_284	MM_RS01385	2.953	2.953	2.953	2.953	2.953	2.953	2.953	2.953
unassigned_transcript_285	MM_RS01395	72.149	72.149	72.149	72.149	72.149	72.149	72.149	72.149
unassigned_transcript_286	MM_RS01400	1668	1668	1668	1668	1668	1668	1668	1668
unassigned_transcript_287	MM_RS01405	708	708	708	708	708	708	708	708
unassigned_transcript_288	MM_RS01410	444	444	444	444	444	444	444	444
unassigned_transcript_289	MM_RS01415	783	783	783	783	783	783	783	783
unassigned_transcript_290	MM_RS01420	207	207	207	207	207	207	207	207
unassigned_transcript_291	MM_RS17675	1056	1056	1056	1056	1056	1056	1056	1056
unassigned_transcript_292	MM_RS18750	24.731	24.731	24.731	24.731	24.731	24.731	24.731	24.731
unassigned_transcript_293	MM_RS01430	1512	1512	1512	1512	1512	1512	1512	1512
unassigned_transcript_294	MM_RS01435	1617	1617	1617	1617	1617	1617	1617	1617
unassigned_transcript_295	MM_RS01440	300	300	300	300	300	300	300	300
unassigned_transcript_296	MM_RS01445	648	648	648	648	648	648	648	648
unassigned_transcript_297	MM_RS01450	258	258	258	258	258	258	258	258
unassigned_transcript_298	MM_RS01455	144	144	144	144	144	144	144	144
unassigned_transcript_299	MM_RS01460	2463	2463	2463	2463	2463	2463	2463	2463
unassigned_transcript_300	MM_RS01465	651	651	651	651	651	651	651	651
unassigned_transcript_301	MM_RS01470	141	141	141	141	141	141	141	141
unassigned_transcript_302	MM_RS19390	13.578	13.578	13.578	13.578	13.578	13.578	13.578	13.578
unassigned_transcript_303	MM_RS01475	96.006	96.006	96.006	96.006	96.006	96.006	96.006	96.006
unassigned_transcript_304	MM_RS01480	378	378	378	378	378	378	378	378
unassigned_transcript_305	MM_RS01485	201	201	201	201	201	201	201	201
unassigned_transcript_306	MM_RS01490	141	141	141	141	141	141	141	141
unassigned_transcript_307	MM_RS01500	516	516	516	516	516	516	516	516
unassigned_transcript_308	MM_RS01505	2880	2880	2880	2880	2880	2880	2880	2880
unassigned_transcript_309	MM_RS01510	321	321	321	321	321	321	321	321
unassigned_transcript_310	MM_RS01515	1653	1653	1653	1653	1653	1653	1653	1653
unassigned_transcript_311	MM_RS01520	3663	3663	3663	3663	3663	3663	3663	3663
unassigned_transcript_312	MM_RS01525	525	525	525	525	525	525	525	525
unassigned_transcript_313	MM_RS01530	825	825	825	825	825	825	825	825
unassigned_transcript_314	MM_RS01535	2847	2847	2847	2847	2847	2847	2847	2847
unassigned_transcript_315	MM_RS01540	183	183	183	183	183	183	183	183
unassigned_transcript_316	MM_RS01545	183	183	183	183	183	183	183	183
unassigned_transcript_317	MM_RS01550	1068	1068	1068	1068	1068	1068	1068	1068
unassigned_transcript_318	MM_RS01555	2751	2751	2751	2751	2751	2751	2751	2751
unassigned_transcript_319	MM_RS01560	759	759	759	759	759	759	759	759
unassigned_transcript_320	MM_RS01565	501	501	501	501	501	501	501	501
unassigned_transcript_321	MM_RS18760	20.776	20.776	20.776	20.776	20.776	20.776	20.776	20.776
unassigned_transcript_322	MM_RS01570	348	348	348	348	348	348	348	348
unassigned_transcript_323	MM_RS01575	888	888	888	888	888	888	888	888
unassigned_transcript_324	MM_RS01580	372	372	372	372	372	372	372	372
unassigned_transcript_325	MM_RS01585	639	639	639	639	639	639	639	639
unassigned_transcript_326	MM_RS01590	399	399	399	399	399	399	399	399
unassigned_transcript_327	MM_RS01595	72.149	72.149	72.149	72.149	72.149	72.149	72.149	72.149
unassigned_transcript_328	MM_RS01600	420	420	420	420	420	420	420	420
unassigned_transcript_329	MM_RS01605	1116	1116	1116	1116	1116	1116	1116	1116
unassigned_transcript_330	MM_RS01610	1689	1689	1689	1689	1689	1689	1689	1689
unassigned_transcript_331	MM_RS01615	471	471	471	471	471	471	471	471
unassigned_transcript_332	MM_RS01620	513	513	513	513	513	513	513	513
unassigned_transcript_333	MM_RS18765	17.578	17.578	17.578	17.578	17.578	17.578	17.578	17.578
unassigned_transcript_334	MM_RS01625	975	975	975	975	975	975	975	975
unassigned_transcript_335	MM_RS01630	771	771	771	771	771	771	771	771
unassigned_transcript_336	MM_RS01635	1068	1068	1068	1068	1068	1068	1068	1068
unassigned_transcript_337	MM_RS01640	1707	1707	1707	1707	1707	1707	1707	1707
unassigned_transcript_338	MM_RS01645	1155	1155	1155	1155	1155	1155	1155	1155
unassigned_transcript_339	MM_RS01650	1044	1044	1044	1044	1044	1044	1044	1044
