tx	gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
unassigned_transcript_208	MM_RS01020	423.287	781.38	1071.803	857	71	198	110	201
unassigned_transcript_209	MM_RS01025	526.995	1238	7137	5728	68	164	423	541
unassigned_transcript_210	MM_RS18185	77	194	584	240	60	313	345	578
unassigned_transcript_211	MM_RS18190	10	22	4	6	3	10	2	9
unassigned_transcript_212	MM_RS01030	278.935	590	352	198.347	49	104	44	67
unassigned_transcript_213	MM_RS01035	60.145	147.857	76	22	15	39	10	19
unassigned_transcript_214	MM_RS01040	395.827	938.874	1286.999	420	32	66	11	44
unassigned_transcript_215	MM_RS01045	113.001	269	172	55	8	31	9	16
unassigned_transcript_216	MM_RS01050	26.855	49.143	63	11	4	13	7	4
unassigned_transcript_217	MM_RS01055	287.436	564.681	315.001	124	47	143	89	164
unassigned_transcript_218	MM_RS01060	43	76	70	33	152	123	43	61
unassigned_transcript_219	MM_RS01065	795.429	645.967	1229.953	338.893	101.856	151.709	143.605	421.456
unassigned_transcript_220	MM_RS01070	15.845	56.782	29.003	6	0	23	7	30
unassigned_transcript_221	MM_RS01075	139.365	200.228	261	65	17	53	72	93
unassigned_transcript_222	MM_RS17465	32.78	48.179	131	22	5	25	25	35
unassigned_transcript_223	MM_RS01080	45	68.404	90.869	26	21	64	41	61
unassigned_transcript_224	MM_RS01085	47.002	106.611	73	14	10	20	17	37
unassigned_transcript_225	MM_RS01090	66	133.652	201	39	16	36	68	90
unassigned_transcript_226	MM_RS01095	148.014	311.769	143	82	38	121.533	100	137
unassigned_transcript_227	MM_RS19385	1	23.212	11	5	0	0	0	0
unassigned_transcript_228	MM_RS01100	9	27	9	6	2	19	0	24
unassigned_transcript_229	MM_RS01105	324	523.901	158	46	37	147	67	87
unassigned_transcript_230	MM_RS01110	49	76	58	24	5	4	5	7
unassigned_transcript_231	MM_RS01115	259	446	110	69	108	139	37	43
unassigned_transcript_232	MM_RS01120	5.931	16	30	19	0	3	1	17
unassigned_transcript_233	MM_RS01125	307	493	959	186	24	45	77	51
unassigned_transcript_234	MM_RS01130	28	21.921	31	7	5	5	4	4
unassigned_transcript_235	MM_RS17670	14	36	41	12	1	6	3	9
unassigned_transcript_236	MM_RS01135	118	181.006	57	35	35	76	38	35
unassigned_transcript_237	MM_RS01140	271	614.139	189	92	31	73	10	37
unassigned_transcript_238	MM_RS01145	144	312.92	105	123	18	48	2	19
unassigned_transcript_239	MM_RS01155	45	120	49	11	221	218	21	151
unassigned_transcript_240	MM_RS01165	28.682	69.246	65	20	6	24	6	32
unassigned_transcript_241	MM_RS01170	62	152	141.004	136	8	33	19	23.006
unassigned_transcript_242	MM_RS01175	253	589	756	409	49	216	82	112
unassigned_transcript_243	MM_RS01180	71	111.422	97.018	78.909	23	61	22	49
unassigned_transcript_244	MM_RS01185	286.371	779.866	326.236	1040.31	433.872	753.124	214.291	632.449
unassigned_transcript_245	MM_RS01190	70	168	221	59	5	22	19	17
unassigned_transcript_246	MM_RS01195	8	49	28	11	1	9	7	24
unassigned_transcript_247	MM_RS01200	3	19	5	13	1	3	2	6
unassigned_transcript_248	MM_RS01205	22	33	51	15	3	17	14	22
unassigned_transcript_249	MM_RS01210	242	502.95	250	218.635	54	97	54	41
unassigned_transcript_250	MM_RS01215	95	106	191	28	212	310	136	272
unassigned_transcript_251	MM_RS01220	112.122	188.33	506.934	151	33	77	59	103
unassigned_transcript_252	MM_RS01225	379	1655	1445	1591	601	1298	786	930.024
unassigned_transcript_253	MM_RS01230	132	539	981	489	21	44	43	37
unassigned_transcript_254	MM_RS01235	67	148	145	57	13	42	30	34
unassigned_transcript_255	MM_RS01240	7	34	29	22	1	2	2	1
unassigned_transcript_256	MM_RS19080	6	12	39	4	3	5	0	2
unassigned_transcript_257	MM_RS01245	7	15	28	12	15	27	17	40
unassigned_transcript_258	MM_RS01250	22.002	73.772	33	12	5	12	4	3
unassigned_transcript_259	MM_RS01255	89.135	188.442	50.001	41	21	83	49	45
unassigned_transcript_260	MM_RS01260	20.932	41	57	11	3	7	4	3
unassigned_transcript_261	MM_RS18745	35	146	49	30	57	95	4	127
unassigned_transcript_262	MM_RS01270	67	277	1250	296	27	96	146	196
unassigned_transcript_263	MM_RS01275	18	24.008	10	5	10	5	10	14
unassigned_transcript_264	MM_RS01280	118	236.082	86	79.781	7	32	13	13
unassigned_transcript_265	MM_RS01285	51	92.645	205	107	6	18	16	28
unassigned_transcript_266	MM_RS01290	79.901	169.558	115	65	103	156	71	186
unassigned_transcript_267	MM_RS01295	228	453.428	193	195	85	206	69	148
unassigned_transcript_268	MM_RS01300	132.118	273	197	118	39	58.003	37	65
unassigned_transcript_269	MM_RS01305	134	226.281	110	47	38	54	37	38
unassigned_transcript_270	MM_RS01310	55	143	105	46	10	18	17	23
unassigned_transcript_271	MM_RS01315	160.619	438.086	308	170	33	139	102	88
unassigned_transcript_272	MM_RS01320	1771	2316	419	227	507	956	54	92
unassigned_transcript_273	MM_RS01325	7610	12991.973	1650	1202	1258	2859	109	189
unassigned_transcript_274	MM_RS01330	57	181	254	54	15	30	7	26
unassigned_transcript_275	MM_RS01335	1395	2488	2438	1397	358	627	525	387
unassigned_transcript_276	MM_RS01340	503	1062	1342	553	125	242	193	161
unassigned_transcript_277	MM_RS01345	419.091	710.992	536.865	283	168	295	155	208
unassigned_transcript_278	MM_RS01350	797	1665.913	1987.001	1006	323	579	390	460
unassigned_transcript_279	MM_RS01355	634	1184.252	401.999	176	224	827	203	336
unassigned_transcript_280	MM_RS01360	77	176	52	32	42	68	21	50
unassigned_transcript_281	MM_RS01365	22	50	18	4	2	12	9	10
unassigned_transcript_282	MM_RS01370	0	254.304	25.75	7.583	7.905	150.983	0	254.093
unassigned_transcript_283	MM_RS01380	63	208	450	284	36	51	120	209
unassigned_transcript_284	MM_RS01385	497.956	1467.598	1538.668	1727.896	1837.444	4153.731	4987.715	4725.761
unassigned_transcript_285	MM_RS01395	9	13	14	25	10	4	51	34
unassigned_transcript_286	MM_RS01400	507.31	1417.795	898.277	829	56	330	81	247
unassigned_transcript_287	MM_RS01405	515.994	1269.581	866	476	179	477	391	293.008
unassigned_transcript_288	MM_RS01410	297	814.003	469	184	79	223	125	134
unassigned_transcript_289	MM_RS01415	450	838	931	520	39	67	70	64
unassigned_transcript_290	MM_RS01420	233	580	323	232	89	112.775	48	87
unassigned_transcript_291	MM_RS17675	43.583	99.054	36.689	0	58.941	18.198	0	16.289
unassigned_transcript_292	MM_RS18750	39	73	25	19	21	51	21	28
unassigned_transcript_293	MM_RS01430	780	1745	1814	1832	187	431	276	369
unassigned_transcript_294	MM_RS01435	313.002	600.469	247	110	85	106	37	87
unassigned_transcript_295	MM_RS01440	179	553.987	180	131	18	25	15	29
unassigned_transcript_296	MM_RS01445	198	522	197	88	70	127	82	127
unassigned_transcript_297	MM_RS01450	310.996	774.865	631.006	396.633	191	350.631	183.922	415.818
unassigned_transcript_298	MM_RS01455	118	99	123	73	32	58	97	65
unassigned_transcript_299	MM_RS01460	591.095	658.529	985.998	1407	176	398	377	621
unassigned_transcript_300	MM_RS01465	5	11.873	6	1	0	0	0	1
unassigned_transcript_301	MM_RS01470	268	384	98	50	53	134	17	74
unassigned_transcript_302	MM_RS19390	40.456	143.176	66	9	3	3	6	2
unassigned_transcript_303	MM_RS01475	1121	1199	1971	836	521	670	332	350
unassigned_transcript_304	MM_RS01480	145.05	233.281	99	64	50	57.335	7	11
unassigned_transcript_305	MM_RS01485	40	70	33	23	8	15	29	18
unassigned_transcript_306	MM_RS01490	100	302	77	41	25	52	28	52
unassigned_transcript_307	MM_RS01500	217	394	249	118	13	38	22	27
unassigned_transcript_308	MM_RS01505	124.44	256.951	436.623	174.996	29	39.003	109	159
unassigned_transcript_309	MM_RS01510	12	11	46	40	5	8	6	12
unassigned_transcript_310	MM_RS01515	48	95.181	300	213.815	16	20	43	71
unassigned_transcript_311	MM_RS01520	352.724	518.079	889	587	65	75	177	191
unassigned_transcript_312	MM_RS01525	31	67	203	43	11	18	29	48
unassigned_transcript_313	MM_RS01530	88.416	314.671	603.994	124	32	71	64	104
unassigned_transcript_314	MM_RS01535	367.077	1181.017	2271.985	2568.331	82	175	211	328
unassigned_transcript_315	MM_RS01540	11	22	20	20	8	21	21	16
unassigned_transcript_316	MM_RS01545	6	18.256	30	16	2	6	1	7
unassigned_transcript_317	MM_RS01550	220	566	1094	1214	77	214	182	222
unassigned_transcript_318	MM_RS01555	357	675.806	2947.853	2451	71	152	468	497
unassigned_transcript_319	MM_RS01560	261	342	589	285	94	141	141	180
unassigned_transcript_320	MM_RS01565	195	478	579	247	92	306	166	261
unassigned_transcript_321	MM_RS18760	51	39	46	25	127	169	106	132
unassigned_transcript_322	MM_RS01570	342	1064.006	750.052	332	43	135	79	91
unassigned_transcript_323	MM_RS01575	652	1090.967	1887	1082	195	369	295	327
unassigned_transcript_324	MM_RS01580	333.001	948.109	1150	639.992	46	77	95	159
unassigned_transcript_325	MM_RS01585	678.056	1275.894	1585	1017	113	324	190	298
unassigned_transcript_326	MM_RS01590	142	282.063	182	83	23	35	21	17
unassigned_transcript_327	MM_RS01595	221	422	211	178	63	89	37	59
unassigned_transcript_328	MM_RS01600	1088	2043	584	652	234	583	179	200
unassigned_transcript_329	MM_RS01605	4665	8321.526	2141	1488	527	1496	381	461
unassigned_transcript_330	MM_RS01610	207	356.183	519	211	145	144	160	208
unassigned_transcript_331	MM_RS01615	18	19	43	16	7	16	35	41
unassigned_transcript_332	MM_RS01620	2	5	11	3	3	6	1	4
unassigned_transcript_333	MM_RS18765	0	1	1	1	1	0	1	1
unassigned_transcript_334	MM_RS01625	30.022	83.356	73	39	4	20.881	11	35
unassigned_transcript_335	MM_RS01630	86	299.996	257	64	105	186	46	159
unassigned_transcript_336	MM_RS01635	879	1947	2043	1602	150	346	170	259
unassigned_transcript_337	MM_RS01640	1333.953	2047.626	2841.995	2498	223	434	262	396
unassigned_transcript_338	MM_RS01645	840.296	1320.008	2102	2040	289	533	471	571
unassigned_transcript_339	MM_RS01650	828.978	1550	2402	1325	400	714	299	516
unassigned_transcript_340	MM_RS01655	645.015	1270	637	560	134	354	136	166
unassigned_transcript_341	MM_RS01660	280.981	387	285	231	68	101	105	157
unassigned_transcript_342	MM_RS01665	1868.002	4316.999	1962	1408	186	689	244	256
unassigned_transcript_343	MM_RS01670	438	807	1248	369	16	57	61	45
unassigned_transcript_344	MM_RS01675	85	214	494	134	19	79	48	81
unassigned_transcript_345	MM_RS01680	305.995	605.894	1156	1055	37	89	96	92
unassigned_transcript_346	MM_RS01685	165	394.002	613.202	492	42	51	64	51
unassigned_transcript_347	MM_RS01690	293	546.017	886	749	142	270	262	274
