ORF_ID	ORF_type	transcript_id	transcript_type	gene_id	gene_name	gene_type	chrom	strand	start_codon	coordinate
unassigned_transcript_32_30530_33124_2595	annotated	unassigned_transcript_32	assumed_protein_coding	MM_RS00155	MM_RS00155	assumed_protein_coding	NC_003901.1	+	ATG	30530-33124
unassigned_transcript_34_34529_35647_1119	annotated	unassigned_transcript_34	assumed_protein_coding	MM_RS00165	MM_RS00165	assumed_protein_coding	NC_003901.1	-	ATG	34529-35647
unassigned_transcript_35_36332_36601_270	annotated	unassigned_transcript_35	assumed_protein_coding	MM_RS00170	MM_RS00170	assumed_protein_coding	NC_003901.1	+	ATG	36332-36601
unassigned_transcript_36_36605_36826_222	annotated	unassigned_transcript_36	assumed_protein_coding	MM_RS00175	MM_RS00175	assumed_protein_coding	NC_003901.1	+	ATG	36605-36826
unassigned_transcript_37_36990_37334_345	annotated	unassigned_transcript_37	assumed_protein_coding	MM_RS00180	MM_RS00180	assumed_protein_coding	NC_003901.1	-	ATG	36990-37334
unassigned_transcript_38_37839_38918_1080	annotated	unassigned_transcript_38	assumed_protein_coding	MM_RS00185	MM_RS00185	assumed_protein_coding	NC_003901.1	-	ATG	37839-38918
unassigned_transcript_40_42333_44345_2013	annotated	unassigned_transcript_40	assumed_protein_coding	MM_RS00195	MM_RS00195	assumed_protein_coding	NC_003901.1	+	ATG	42333-44345
unassigned_transcript_41_44606_45787_1182	annotated	unassigned_transcript_41	assumed_protein_coding	MM_RS00200	MM_RS00200	assumed_protein_coding	NC_003901.1	-	ATG	44606-45787
unassigned_transcript_42_46172_49390_3219	annotated	unassigned_transcript_42	assumed_protein_coding	MM_RS00205	MM_RS00205	assumed_protein_coding	NC_003901.1	-	ATG	46172-49390
unassigned_transcript_43_49393_50496_1104	annotated	unassigned_transcript_43	assumed_protein_coding	MM_RS00210	MM_RS00210	assumed_protein_coding	NC_003901.1	-	ATG	49393-50496
unassigned_transcript_49_58247_59086_840	annotated	unassigned_transcript_49	assumed_protein_coding	MM_RS00240	MM_RS00240	assumed_protein_coding	NC_003901.1	+	ATG	58247-59086
unassigned_transcript_50_59399_60478_1080	annotated	unassigned_transcript_50	assumed_protein_coding	MM_RS00245	MM_RS00245	assumed_protein_coding	NC_003901.1	+	ATG	59399-60478
unassigned_transcript_51_60576_61067_492	annotated	unassigned_transcript_51	assumed_protein_coding	MM_RS00250	MM_RS00250	assumed_protein_coding	NC_003901.1	+	ATG	60576-61067
unassigned_transcript_54_65092_65484_393	annotated	unassigned_transcript_54	assumed_protein_coding	MM_RS00265	MM_RS00265	assumed_protein_coding	NC_003901.1	-	ATG	65092-65484
unassigned_transcript_55_66151_68049_1899	annotated	unassigned_transcript_55	assumed_protein_coding	MM_RS00270	MM_RS00270	assumed_protein_coding	NC_003901.1	-	ATG	66151-68049
unassigned_transcript_56_68755_69168_414	annotated	unassigned_transcript_56	assumed_protein_coding	MM_RS00275	MM_RS00275	assumed_protein_coding	NC_003901.1	+	ATG	68755-69168
unassigned_transcript_58_71412_71879_468	annotated	unassigned_transcript_58	assumed_protein_coding	MM_RS00285	MM_RS00285	assumed_protein_coding	NC_003901.1	+	ATG	71412-71879
unassigned_transcript_59_72310_73809_1500	annotated	unassigned_transcript_59	assumed_protein_coding	MM_RS00290	MM_RS00290	assumed_protein_coding	NC_003901.1	-	ATG	72310-73809
unassigned_transcript_60_73809_76187_2379	annotated	unassigned_transcript_60	assumed_protein_coding	MM_RS00295	MM_RS00295	assumed_protein_coding	NC_003901.1	-	ATG	73809-76187
unassigned_transcript_61_77008_77286_279	annotated	unassigned_transcript_61	assumed_protein_coding	MM_RS00300	MM_RS00300	assumed_protein_coding	NC_003901.1	+	ATG	77008-77286
unassigned_transcript_62_77762_78223_462	annotated	unassigned_transcript_62	assumed_protein_coding	MM_RS00305	MM_RS00305	assumed_protein_coding	NC_003901.1	+	ATG	77762-78223
unassigned_transcript_63_78236_79477_1242	annotated	unassigned_transcript_63	assumed_protein_coding	MM_RS00310	MM_RS00310	assumed_protein_coding	NC_003901.1	+	ATG	78236-79477
unassigned_transcript_64_79480_79875_396	annotated	unassigned_transcript_64	assumed_protein_coding	MM_RS00315	MM_RS00315	assumed_protein_coding	NC_003901.1	+	ATG	79480-79875
unassigned_transcript_65_80012_80293_282	annotated	unassigned_transcript_65	assumed_protein_coding	MM_RS00320	MM_RS00320	assumed_protein_coding	NC_003901.1	+	ATG	80012-80293
unassigned_transcript_68_83345_85348_2004	annotated	unassigned_transcript_68	assumed_protein_coding	MM_RS00335	MM_RS00335	assumed_protein_coding	NC_003901.1	-	ATG	83345-85348
unassigned_transcript_69_85910_89065_3156	annotated	unassigned_transcript_69	assumed_protein_coding	MM_RS00340	MM_RS00340	assumed_protein_coding	NC_003901.1	-	ATG	85910-89065
unassigned_transcript_70_89716_91257_1542	annotated	unassigned_transcript_70	assumed_protein_coding	MM_RS00345	MM_RS00345	assumed_protein_coding	NC_003901.1	-	ATG	89716-91257
unassigned_transcript_71_91257_92966_1710	annotated	unassigned_transcript_71	assumed_protein_coding	MM_RS00350	MM_RS00350	assumed_protein_coding	NC_003901.1	-	ATG	91257-92966
unassigned_transcript_72_93526_94458_933	annotated	unassigned_transcript_72	assumed_protein_coding	MM_RS00355	MM_RS00355	assumed_protein_coding	NC_003901.1	-	ATG	93526-94458
unassigned_transcript_73_94881_95570_690	annotated	unassigned_transcript_73	assumed_protein_coding	MM_RS00360	MM_RS00360	assumed_protein_coding	NC_003901.1	+	ATG	94881-95570
unassigned_transcript_74_95590_96255_666	annotated	unassigned_transcript_74	assumed_protein_coding	MM_RS00365	MM_RS00365	assumed_protein_coding	NC_003901.1	+	ATG	95590-96255
unassigned_transcript_75_96458_98092_1635	annotated	unassigned_transcript_75	assumed_protein_coding	MM_RS00370	MM_RS00370	assumed_protein_coding	NC_003901.1	-	ATG	96458-98092
unassigned_transcript_76_98572_99273_702	annotated	unassigned_transcript_76	assumed_protein_coding	MM_RS00375	MM_RS00375	assumed_protein_coding	NC_003901.1	-	ATG	98572-99273
unassigned_transcript_77_99389_100720_1332	annotated	unassigned_transcript_77	assumed_protein_coding	MM_RS00380	MM_RS00380	assumed_protein_coding	NC_003901.1	-	ATG	99389-100720
unassigned_transcript_78_101238_101645_408	annotated	unassigned_transcript_78	assumed_protein_coding	MM_RS00385	MM_RS00385	assumed_protein_coding	NC_003901.1	+	ATG	101238-101645
unassigned_transcript_79_101875_102132_258	annotated	unassigned_transcript_79	assumed_protein_coding	MM_RS00390	MM_RS00390	assumed_protein_coding	NC_003901.1	+	ATG	101875-102132
unassigned_transcript_82_105080_105973_894	annotated	unassigned_transcript_82	assumed_protein_coding	MM_RS00405	MM_RS00405	assumed_protein_coding	NC_003901.1	+	ATG	105080-105973
unassigned_transcript_84_107745_109103_1359	annotated	unassigned_transcript_84	assumed_protein_coding	MM_RS00415	MM_RS00415	assumed_protein_coding	NC_003901.1	-	ATG	107745-109103
unassigned_transcript_85_109133_109408_276	annotated	unassigned_transcript_85	assumed_protein_coding	MM_RS00420	MM_RS00420	assumed_protein_coding	NC_003901.1	-	ATG	109133-109408
unassigned_transcript_86_109847_110353_507	annotated	unassigned_transcript_86	assumed_protein_coding	MM_RS00425	MM_RS00425	assumed_protein_coding	NC_003901.1	-	ATG	109847-110353
unassigned_transcript_87_110612_111025_414	annotated	unassigned_transcript_87	assumed_protein_coding	MM_RS00430	MM_RS00430	assumed_protein_coding	NC_003901.1	-	ATG	110612-111025
unassigned_transcript_88_111387_111917_531	annotated	unassigned_transcript_88	assumed_protein_coding	MM_RS00435	MM_RS00435	assumed_protein_coding	NC_003901.1	-	ATG	111387-111917
unassigned_transcript_89_112012_113529_1518	annotated	unassigned_transcript_89	assumed_protein_coding	MM_RS00440	MM_RS00440	assumed_protein_coding	NC_003901.1	-	ATG	112012-113529
unassigned_transcript_90_113891_114763_873	annotated	unassigned_transcript_90	assumed_protein_coding	MM_RS00445	MM_RS00445	assumed_protein_coding	NC_003901.1	-	ATG	113891-114763
unassigned_transcript_91_115139_115342_204	annotated	unassigned_transcript_91	assumed_protein_coding	MM_RS00450	MM_RS00450	assumed_protein_coding	NC_003901.1	-	ATG	115139-115342
unassigned_transcript_92_115987_116205_219	annotated	unassigned_transcript_92	assumed_protein_coding	MM_RS00455	MM_RS00455	assumed_protein_coding	NC_003901.1	-	ATG	115987-116205
unassigned_transcript_93_117274_118440_1167	annotated	unassigned_transcript_93	assumed_protein_coding	MM_RS00460	MM_RS00460	assumed_protein_coding	NC_003901.1	-	ATG	117274-118440
unassigned_transcript_94_118502_119647_1146	annotated	unassigned_transcript_94	assumed_protein_coding	MM_RS00465	MM_RS00465	assumed_protein_coding	NC_003901.1	-	ATG	118502-119647
unassigned_transcript_95_120251_121705_1455	annotated	unassigned_transcript_95	assumed_protein_coding	MM_RS00470	MM_RS00470	assumed_protein_coding	NC_003901.1	+	ATG	120251-121705
unassigned_transcript_96_122048_122293_246	annotated	unassigned_transcript_96	assumed_protein_coding	MM_RS19060	MM_RS19060	assumed_protein_coding	NC_003901.1	-	ATG	122048-122293
unassigned_transcript_100_125739_126716_978	annotated	unassigned_transcript_100	assumed_protein_coding	MM_RS00490	MM_RS00490	assumed_protein_coding	NC_003901.1	-	ATG	125739-126716
unassigned_transcript_101_126938_127636_699	annotated	unassigned_transcript_101	assumed_protein_coding	MM_RS00495	MM_RS00495	assumed_protein_coding	NC_003901.1	+	ATG	126938-127636
unassigned_transcript_104_129031_129381_351	annotated	unassigned_transcript_104	assumed_protein_coding	MM_RS00505	MM_RS00505	assumed_protein_coding	NC_003901.1	-	ATG	129031-129381
unassigned_transcript_106_130957_132141_1185	annotated	unassigned_transcript_106	assumed_protein_coding	MM_RS00515	MM_RS00515	assumed_protein_coding	NC_003901.1	-	ATG	130957-132141
unassigned_transcript_107_133007_133243_237	annotated	unassigned_transcript_107	assumed_protein_coding	MM_RS00520	MM_RS00520	assumed_protein_coding	NC_003901.1	-	ATG	133007-133243
unassigned_transcript_108_133816_134217_402	annotated	unassigned_transcript_108	assumed_protein_coding	MM_RS00525	MM_RS00525	assumed_protein_coding	NC_003901.1	+	ATG	133816-134217
unassigned_transcript_111_135686_136873_1188	annotated	unassigned_transcript_111	assumed_protein_coding	MM_RS00540	MM_RS00540	assumed_protein_coding	NC_003901.1	+	ATG	135686-136873
unassigned_transcript_113_137429_138400_972	annotated	unassigned_transcript_113	assumed_protein_coding	MM_RS00550	MM_RS00550	assumed_protein_coding	NC_003901.1	+	ATG	137429-138400
unassigned_transcript_114_138677_139021_345	annotated	unassigned_transcript_114	assumed_protein_coding	MM_RS00555	MM_RS00555	assumed_protein_coding	NC_003901.1	+	ATG	138677-139021
unassigned_transcript_115_139146_140378_1233	annotated	unassigned_transcript_115	assumed_protein_coding	MM_RS00560	MM_RS00560	assumed_protein_coding	NC_003901.1	+	ATG	139146-140378
unassigned_transcript_116_140519_140941_423	annotated	unassigned_transcript_116	assumed_protein_coding	MM_RS00565	MM_RS00565	assumed_protein_coding	NC_003901.1	+	ATG	140519-140941
unassigned_transcript_117_140925_142238_1314	annotated	unassigned_transcript_117	assumed_protein_coding	MM_RS00570	MM_RS00570	assumed_protein_coding	NC_003901.1	+	ATG	140925-142238
unassigned_transcript_118_142503_143900_1398	annotated	unassigned_transcript_118	assumed_protein_coding	MM_RS00575	MM_RS00575	assumed_protein_coding	NC_003901.1	-	ATG	142503-143900
unassigned_transcript_119_143893_144324_432	annotated	unassigned_transcript_119	assumed_protein_coding	MM_RS00580	MM_RS00580	assumed_protein_coding	NC_003901.1	-	ATG	143893-144324
unassigned_transcript_120_144524_144706_183	annotated	unassigned_transcript_120	assumed_protein_coding	MM_RS00585	MM_RS00585	assumed_protein_coding	NC_003901.1	+	ATG	144524-144706
unassigned_transcript_122_145678_145806_129	annotated	unassigned_transcript_122	assumed_protein_coding	MM_RS19365	MM_RS19365	assumed_protein_coding	NC_003901.1	-	ATG	145678-145806
unassigned_transcript_123_145907_146119_213	annotated	unassigned_transcript_123	assumed_protein_coding	MM_RS00595	MM_RS00595	assumed_protein_coding	NC_003901.1	+	ATG	145907-146119
unassigned_transcript_124_146237_146368_132	annotated	unassigned_transcript_124	assumed_protein_coding	MM_RS19370	MM_RS19370	assumed_protein_coding	NC_003901.1	-	ATG	146237-146368
unassigned_transcript_125_146553_148154_1602	annotated	unassigned_transcript_125	assumed_protein_coding	MM_RS00600	MM_RS00600	assumed_protein_coding	NC_003901.1	-	ATG	146553-148154
unassigned_transcript_128_150349_152220_1872	annotated	unassigned_transcript_128	assumed_protein_coding	MM_RS00615	MM_RS00615	assumed_protein_coding	NC_003901.1	+	ATG	150349-152220
unassigned_transcript_129_152239_152778_540	annotated	unassigned_transcript_129	assumed_protein_coding	MM_RS00620	MM_RS00620	assumed_protein_coding	NC_003901.1	+	ATG	152239-152778
unassigned_transcript_130_153174_153632_459	annotated	unassigned_transcript_130	assumed_protein_coding	MM_RS00625	MM_RS00625	assumed_protein_coding	NC_003901.1	+	ATG	153174-153632
unassigned_transcript_131_153778_154713_936	annotated	unassigned_transcript_131	assumed_protein_coding	MM_RS00630	MM_RS00630	assumed_protein_coding	NC_003901.1	+	ATG	153778-154713
unassigned_transcript_132_155445_155888_444	annotated	unassigned_transcript_132	assumed_protein_coding	MM_RS00635	MM_RS00635	assumed_protein_coding	NC_003901.1	+	ATG	155445-155888
unassigned_transcript_133_156031_157338_1308	annotated	unassigned_transcript_133	assumed_protein_coding	MM_RS00640	MM_RS00640	assumed_protein_coding	NC_003901.1	-	ATG	156031-157338
unassigned_transcript_134_157344_158681_1338	annotated	unassigned_transcript_134	assumed_protein_coding	MM_RS00645	MM_RS00645	assumed_protein_coding	NC_003901.1	-	ATG	157344-158681
unassigned_transcript_135_158687_160753_2067	annotated	unassigned_transcript_135	assumed_protein_coding	MM_RS00650	MM_RS00650	assumed_protein_coding	NC_003901.1	-	ATG	158687-160753
unassigned_transcript_136_161203_161964_762	annotated	unassigned_transcript_136	assumed_protein_coding	MM_RS00655	MM_RS00655	assumed_protein_coding	NC_003901.1	+	ATG	161203-161964
unassigned_transcript_137_161978_162415_438	annotated	unassigned_transcript_137	assumed_protein_coding	MM_RS00660	MM_RS00660	assumed_protein_coding	NC_003901.1	-	ATG	161978-162415
unassigned_transcript_138_162643_163410_768	annotated	unassigned_transcript_138	assumed_protein_coding	MM_RS00665	MM_RS00665	assumed_protein_coding	NC_003901.1	+	ATG	162643-163410
unassigned_transcript_139_163735_163941_207	annotated	unassigned_transcript_139	assumed_protein_coding	MM_RS00670	MM_RS00670	assumed_protein_coding	NC_003901.1	-	ATG	163735-163941
unassigned_transcript_140_164134_164589_456	annotated	unassigned_transcript_140	assumed_protein_coding	MM_RS00675	MM_RS00675	assumed_protein_coding	NC_003901.1	+	ATG	164134-164589
unassigned_transcript_141_164917_166164_1248	annotated	unassigned_transcript_141	assumed_protein_coding	MM_RS00680	MM_RS00680	assumed_protein_coding	NC_003901.1	+	ATG	164917-166164
unassigned_transcript_142_166296_167450_1155	annotated	unassigned_transcript_142	assumed_protein_coding	MM_RS00685	MM_RS00685	assumed_protein_coding	NC_003901.1	+	ATG	166296-167450
unassigned_transcript_143_167525_168838_1314	annotated	unassigned_transcript_143	assumed_protein_coding	MM_RS00690	MM_RS00690	assumed_protein_coding	NC_003901.1	-	ATG	167525-168838
unassigned_transcript_151_171521_171646_126	annotated	unassigned_transcript_151	assumed_protein_coding	MM_RS19375	MM_RS19375	assumed_protein_coding	NC_003901.1	+	ATG	171521-171646
unassigned_transcript_153_172684_173076_393	annotated	unassigned_transcript_153	assumed_protein_coding	MM_RS00740	MM_RS00740	assumed_protein_coding	NC_003901.1	-	ATG	172684-173076
unassigned_transcript_154_174141_175199_1059	annotated	unassigned_transcript_154	assumed_protein_coding	MM_RS00745	MM_RS00745	assumed_protein_coding	NC_003901.1	-	ATG	174141-175199
unassigned_transcript_155_175263_176249_987	annotated	unassigned_transcript_155	assumed_protein_coding	MM_RS00750	MM_RS00750	assumed_protein_coding	NC_003901.1	-	ATG	175263-176249
unassigned_transcript_157_177146_177706_561	annotated	unassigned_transcript_157	assumed_protein_coding	MM_RS00760	MM_RS00760	assumed_protein_coding	NC_003901.1	+	ATG	177146-177706
unassigned_transcript_158_177873_178181_309	annotated	unassigned_transcript_158	assumed_protein_coding	MM_RS00765	MM_RS00765	assumed_protein_coding	NC_003901.1	-	ATG	177873-178181
unassigned_transcript_159_178648_179946_1299	annotated	unassigned_transcript_159	assumed_protein_coding	MM_RS00770	MM_RS00770	assumed_protein_coding	NC_003901.1	+	ATG	178648-179946
unassigned_transcript_160_180118_181023_906	annotated	unassigned_transcript_160	assumed_protein_coding	MM_RS00775	MM_RS00775	assumed_protein_coding	NC_003901.1	+	ATG	180118-181023
unassigned_transcript_162_182613_183395_783	annotated	unassigned_transcript_162	assumed_protein_coding	MM_RS00785	MM_RS00785	assumed_protein_coding	NC_003901.1	+	ATG	182613-183395
unassigned_transcript_163_183762_184424_663	annotated	unassigned_transcript_163	assumed_protein_coding	MM_RS00790	MM_RS00790	assumed_protein_coding	NC_003901.1	+	ATG	183762-184424
unassigned_transcript_165_185332_185541_210	annotated	unassigned_transcript_165	assumed_protein_coding	MM_RS00800	MM_RS00800	assumed_protein_coding	NC_003901.1	+	ATG	185332-185541
unassigned_transcript_167_189186_191105_1920	annotated	unassigned_transcript_167	assumed_protein_coding	MM_RS00815	MM_RS00815	assumed_protein_coding	NC_003901.1	-	ATG	189186-191105
unassigned_transcript_169_191547_191696_150	annotated	unassigned_transcript_169	assumed_protein_coding	MM_RS18165	MM_RS18165	assumed_protein_coding	NC_003901.1	-	ATG	191547-191696
unassigned_transcript_170_191933_193066_1134	annotated	unassigned_transcript_170	assumed_protein_coding	MM_RS00825	MM_RS00825	assumed_protein_coding	NC_003901.1	-	ATG	191933-193066
unassigned_transcript_171_193892_194461_570	annotated	unassigned_transcript_171	assumed_protein_coding	MM_RS00830	MM_RS00830	assumed_protein_coding	NC_003901.1	+	ATG	193892-194461
unassigned_transcript_172_194588_198223_3636	annotated	unassigned_transcript_172	assumed_protein_coding	MM_RS00835	MM_RS00835	assumed_protein_coding	NC_003901.1	+	ATG	194588-198223
unassigned_transcript_173_198320_200656_2337	annotated	unassigned_transcript_173	assumed_protein_coding	MM_RS00840	MM_RS00840	assumed_protein_coding	NC_003901.1	-	ATG	198320-200656
unassigned_transcript_174_200894_204388_3495	annotated	unassigned_transcript_174	assumed_protein_coding	MM_RS00845	MM_RS00845	assumed_protein_coding	NC_003901.1	+	ATG	200894-204388
unassigned_transcript_175_204388_204546_159	annotated	unassigned_transcript_175	assumed_protein_coding	MM_RS00850	MM_RS00850	assumed_protein_coding	NC_003901.1	+	ATG	204388-204546
unassigned_transcript_176_204546_204686_141	annotated	unassigned_transcript_176	assumed_protein_coding	MM_RS18170	MM_RS18170	assumed_protein_coding	NC_003901.1	+	ATG	204546-204686
unassigned_transcript_179_206166_206288_123	annotated	unassigned_transcript_179	assumed_protein_coding	MM_RS19380	MM_RS19380	assumed_protein_coding	NC_003901.1	-	ATG	206166-206288
unassigned_transcript_181_207714_207938_225	annotated	unassigned_transcript_181	assumed_protein_coding	MM_RS00870	MM_RS00870	assumed_protein_coding	NC_003901.1	-	ATG	207714-207938
unassigned_transcript_182_207937_208128_192	annotated	unassigned_transcript_182	assumed_protein_coding	MM_RS18175	MM_RS18175	assumed_protein_coding	NC_003901.1	+	ATG	207937-208128
unassigned_transcript_183_208431_209813_1383	annotated	unassigned_transcript_183	assumed_protein_coding	MM_RS00880	MM_RS00880	assumed_protein_coding	NC_003901.1	+	ATG	208431-209813
unassigned_transcript_184_210040_212739_2700	annotated	unassigned_transcript_184	assumed_protein_coding	MM_RS00885	MM_RS00885	assumed_protein_coding	NC_003901.1	+	ATG	210040-212739
unassigned_transcript_185_212816_214861_2046	annotated	unassigned_transcript_185	assumed_protein_coding	MM_RS00890	MM_RS00890	assumed_protein_coding	NC_003901.1	+	ATG	212816-214861
unassigned_transcript_186_215013_215330_318	annotated	unassigned_transcript_186	assumed_protein_coding	MM_RS00895	MM_RS00895	assumed_protein_coding	NC_003901.1	-	ATG	215013-215330
unassigned_transcript_187_215609_217054_1446	annotated	unassigned_transcript_187	assumed_protein_coding	MM_RS00900	MM_RS00900	assumed_protein_coding	NC_003901.1	+	ATG	215609-217054
unassigned_transcript_188_217859_218947_1089	annotated	unassigned_transcript_188	assumed_protein_coding	MM_RS00905	MM_RS00905	assumed_protein_coding	NC_003901.1	+	ATG	217859-218947
unassigned_transcript_189_219157_223908_4752	annotated	unassigned_transcript_189	assumed_protein_coding	MM_RS00910	MM_RS00910	assumed_protein_coding	NC_003901.1	-	ATG	219157-223908
unassigned_transcript_190_223962_226253_2292	annotated	unassigned_transcript_190	assumed_protein_coding	MM_RS00915	MM_RS00915	assumed_protein_coding	NC_003901.1	-	ATG	223962-226253
unassigned_transcript_191_226261_227354_1094	annotated	unassigned_transcript_191	assumed_protein_coding	MM_RS17665	MM_RS17665	assumed_protein_coding	NC_003901.1	-	ATG	226261-227354
unassigned_transcript_193_229545_229859_315	annotated	unassigned_transcript_193	assumed_protein_coding	MM_RS18735	MM_RS18735	assumed_protein_coding	NC_003901.1	+	ATG	229545-229859
unassigned_transcript_194_230669_231268_600	annotated	unassigned_transcript_194	assumed_protein_coding	MM_RS00940	MM_RS00940	assumed_protein_coding	NC_003901.1	+	ATG	230669-231268
unassigned_transcript_199_238003_238782_780	annotated	unassigned_transcript_199	assumed_protein_coding	MM_RS00970	MM_RS00970	assumed_protein_coding	NC_003901.1	+	ATG	238003-238782
unassigned_transcript_200_238799_240184_1386	annotated	unassigned_transcript_200	assumed_protein_coding	MM_RS00975	MM_RS00975	assumed_protein_coding	NC_003901.1	+	ATG	238799-240184
unassigned_transcript_201_240529_241545_1017	annotated	unassigned_transcript_201	assumed_protein_coding	MM_RS00980	MM_RS00980	assumed_protein_coding	NC_003901.1	-	ATG	240529-241545
unassigned_transcript_202_242083_242604_522	annotated	unassigned_transcript_202	assumed_protein_coding	MM_RS00985	MM_RS00985	assumed_protein_coding	NC_003901.1	+	ATG	242083-242604
unassigned_transcript_204_249408_249800_393	annotated	unassigned_transcript_204	assumed_protein_coding	MM_RS00995	MM_RS00995	assumed_protein_coding	NC_003901.1	+	ATG	249408-249800
unassigned_transcript_205_249860_250354_495	annotated	unassigned_transcript_205	assumed_protein_coding	MM_RS01000	MM_RS01000	assumed_protein_coding	NC_003901.1	-	ATG	249860-250354
unassigned_transcript_206_250785_251756_972	annotated	unassigned_transcript_206	assumed_protein_coding	MM_RS01010	MM_RS01010	assumed_protein_coding	NC_003901.1	+	ATG	250785-251756
unassigned_transcript_207_251929_253212_1284	annotated	unassigned_transcript_207	assumed_protein_coding	MM_RS01015	MM_RS01015	assumed_protein_coding	NC_003901.1	-	ATG	251929-253212
unassigned_transcript_208_254024_256519_2496	annotated	unassigned_transcript_208	assumed_protein_coding	MM_RS01020	MM_RS01020	assumed_protein_coding	NC_003901.1	+	ATG	254024-256519
unassigned_transcript_211_258228_258392_165	annotated	unassigned_transcript_211	assumed_protein_coding	MM_RS18190	MM_RS18190	assumed_protein_coding	NC_003901.1	+	ATG	258228-258392
